,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
0,,R-Style Softlab (Эр-Стайл Софтлаб),Обязанности: Проектирование и разработка функционала на Oracle PL/SQL;Настройка бизнес приложений с использованием модулей RS Datahouse;Создание отчетов (FastReport или Excel VBA);Выполнение работ по оптимизации скорости работы функционала;Подготовка оценок трудозатрат по задачам (в т.ч. взаимодействие с аналитиком по документам);Разработка проектной документации;Участие в сдаче-приемке работ заказчику. Требования: Высшее образованиеЗнание теории баз данных и практический опыт работы с Oracle PL/SQL от 3-х лет;Понимание принципов построения хранилищ данных;Навыки разработки проектной и пользовательской документации;Опыт разработки форм обязательной отчетности для ЦБ РФ или понимание принципов бухгалтерского учета в коммерческих банках. Приветствуется наличие опыта Разработки ETL процессов;Разработки на MS SQL Server;Взаимодействия с командой заказчика. ,Обязанности: Проектирование и разработка функционала на Oracle PL/SQL;Настройка бизнес приложений с использованием модулей RS Datahouse;Создание отчетов (FastReport или Excel VBA);Выполнение работ по оптимизации скорости работы функционала;Подготовка оценок трудозатрат по задачам (в т.ч. взаимодействие с аналитиком по документам);Разработка проектной документации;Участие в сдаче-приемке работ заказчику. Требования: Высшее образованиеЗнание теории баз данных и практический опыт работы с Oracle PL/SQL от 3-х лет;Понимание принципов построения хранилищ данных;Навыки разработки проектной и пользовательской документации;Опыт разработки форм обязательной отчетности для ЦБ РФ или понимание принципов бухгалтерского учета в коммерческих банках. Приветствуется наличие опыта Разработки ETL процессов;Разработки на MS SQL Server;Взаимодействия с командой заказчика. ,Полная занятость,От 3 до 6 лет,,,MS SQL Server,2020-12-18T18:45:26+0300,Обязанности: Проектирование и разработка функционала на Oracle PL/SQL;Настройка бизнес приложений с использованием модулей RS Datahouse;Создание отчетов (FastReport или Excel VBA);Выполнение работ по оптимизации скорости работы функционала;Подготовка оценок трудозатрат по задачам (в т.ч. взаимодействие с аналитиком по документам);Разработка проектной документации;Участие в сдаче-приемке работ заказчику. Требования: Высшее образованиеЗнание теории баз данных и практический опыт работы с Oracle PL/SQL от 3-х лет;Понимание принципов построения хранилищ данных;Навыки разработки проектной и пользовательской документации;Опыт разработки форм обязательной отчетности для ЦБ РФ или понимание принципов бухгалтерского учета в коммерческих банках. Приветствуется наличие опыта Разработки ETL процессов;Разработки на MS SQL Server;Взаимодействия с командой заказчика. ,Полный день,Oracle Pl/SQL|SQL|PL/SQL|ORACLE|Хранилище данных|DWH|Обязательная отчётность|Отчётность ЦБ РФ|FastReport|Excel VBA|Разработчик|ETL|MS SQL Server|,Условия: Заработная плата официальная: оклад и достойные премии по результатам работы;Возможны командировки;Соблюдение ТК РФ;Корпоративное обучение;Добровольное Медицинское Страхование.
1,,FunBox,"Мы создаем большие, сложные и высоконагруженные системы. Чтобы делать это быстрее и лучше, наши разработчики серьезно относятся к code review, тестированию и широко используют CI. При старте проектов мы тщательно продумываем их архитектуру и интерфейсы, делим сервисы на удобно управляемые компоненты, стараемся сделать развертывание быстрым и удобным.   ",,Полная занятость,От 1 года до 3 лет,,110000,NoSQL,2021-01-08T12:36:55+0300,,Полный день,Java|Java SE|Git|NoSQL|,
2,Екатеринбург,АУРИТ,"Это мы имеем 20 летний опыт разработки систем автоматизации бизнес-процессов любой сложности. Главная цель компании — обеспечить своих клиентов понятными и эффективными инструментами. Сегодня мы продолжаем расти и развиваться и понимаем, что только с сильной командой мы сможем быстрее достичь успеха и шагнуть на новый этап развития. Мы ищем в свой коллектив людей, которые могут, как и мы, сложные задачи решить с ходу, а невозможные - чуть позже. Нам не нужны Ваши пустые обещания и горящие глаза, нужно прийти и сделать! Важна Ваша хватка, толковая голова, желание и умение доводить начатое до конца. ","Обязанности:  Разработка программного обеспечения в соответствии с планом проекта (анализ задачи, поиск и выбор оптимального решения поставленной задачи, проработка ТЗ, программирование, документирование, тестирование).  ",Полная занятость,От 1 года до 3 лет,70000,55000,Embarcadero Delphi,2020-12-17T22:35:23+0300,"Требования:  опыт разработки на Delphi не менее 3 лет;  аккуратный код, комментарии, документация, технические задания;  хорошие знания любой из СУБД MS Sql, Firebird, PostgreSQL;  клиент-серверные приложения (SQL, SOAP, web-сервисы)  групповая разработка, багтрекинг, GIT;  Вы владеете хорошими знаниями в проектировании и разработке ПО;  Приветствуется знание технологий, используемые в наших проектах и позволит Вам участвовать в других проектах: C#, ASP.NET MVC, EntityFamework, WCF, WebAPI, HTML, CSS, Bootstrap, Kendo UI, Javascript, Jquery, AJAX,XML, JSON, REST,PostgeSQL, SQL.  ",Полный день,Разработка ПО|Веб-программирование|Java|C#|.NET Framework|PostgreSQL|ASP.NET|Разработка технических заданий|Постановка задач разработчикам|руководство командой разработчиков|SQL|HTML|MySQL|JavaScript|MS SQL Server|Git|MVC|MS Visual Studio|ООП|Delphi|Bootstrap|Управление проектами|Тестирование|Тестирование пользовательского интерфейса|Функциональное тестирование|FirebirdSQL|FastReport|fastscript|Дельфи|Embarcadero Delphi|,Условия работы: 
3,,Самокат (ООО Умный ритейл),,"Обязанности: Формирование отчетов в Power BI;Проведение анализа причин изменений;Прогнозирование результата и оценка эффективности рекламных кампаний (семплинги, подборки, ценовые промо и т.д.);Взаимодействие с коллегами по вопросам аналитики;Выгрузки из DWH; ",Полная занятость,От 1 года до 3 лет,,,Python,2020-12-17T17:34:16+0300,Требования: ,Полный день,SQL|Аналитические исследования|Прогнозирование|Python|,"Условия: Полностью удаленный процесс интервью и принятия решения.Зарплата, которой вы достойны =). Обсуждаем с каждым успешным кандидатом отдельно.Соблюдение ТК РФ и конечно же белую заработную плату.Традиционные радости в виде кофе, фруктов и активной социальной жизни - присутствуют!)ДМС после испытательного срока"
4,Екатеринбург,ЭнергосбыТ Плюс,,,Полная занятость,От 1 года до 3 лет,,,Информационные технологии,2020-12-24T12:02:33+0300,,Полный день,MS SQL|SQL|Oracle Pl/SQL|ORACLE|Информационные технологии|,"пециалиста службы технической поддержки В нашей команде работают только квалифицированные Специалисты и Эксперты. Мы предлагаем выполнять творческие задачи в комфортных условиях: просторный офис, новая техническая база, внутреннее обучение. "
5,Екатеринбург,SpectrumData,,,Полная занятость,От 1 года до 3 лет,120000,70000,Анализ данных,2020-12-28T16:00:36+0300,,Полный день,Бизнес-анализ|Разработка технических заданий|Анализ данных|,
6,Екатеринбург,ГЛОБАЛТРАК МЕНЕДЖМЕНТ,В крупную федеральную логистическую компанию (FTL – перевозки) в связи с расширением отдела требуется,,Полная занятость,От 1 года до 3 лет,,45000,Пользователь ПК,2021-01-08T17:32:09+0300,Требования: Высшее/ среднее профессиональное техническое образование;Опыт работы в технической поддержке от 1 года;Опыт поддержки пользователей по 1С;Опыт работы в ServiceDesk;Опыт поддержки Web приложений. ,Полный день,1С: Предприятие|Грамотная речь|Техническая поддержка|Клиентоориентированность|Helpdesk|Работа в команде|Пользователь ПК|,
7,,Информаудитсервис,"В ООО «Сетелем Банк» — дочернем предприятии ПАО Сбербанк, лидере российского рынка автокредитования открыт конкурс на позицию ","Обязанности: Анализ функциональных требований и оценка трудоемкости.Развитие систем выдачи кредитов (frontend и backend-системы). Проектирование и разработка на Java на платформах IBM WebSphere Application Server или Glassfish.Разработка новых приложений и развитие текущих для интеграции систем банка с внешними сервисами, и интеграции систем банка друг с другом (SOAP WebServices, File transfer, IBM Process Server)Описание архитектуры и подготовка технической документации по разрабатываемым компонентам. ",Полная занятость,От 1 года до 3 лет,,,Agile Project Management,2020-12-17T11:19:33+0300,"Требования: Уверенное владение технологиями J2EE (Servlets, JSF, JSP, EJB, JPA), Hibernate, Spring, SOAP WebServicesОпыт программирования на Java более 2 летОпыт проектирования корпоративных систем (знание ООП, SOLID)Опыт администрирования IBM WebSphere для нужд разработкиОпыт использования Ant, Maven, Jenkins, JiraОпыт разработки c использованием SberSign и SberCryptВысшее техническое образованиеАнглийский - уровень intermediate (технический). ",Полный день,Spring Framework|Java EE|Atlassian Jira|Java|Agile Project Management|,
8,Екатеринбург,ЧАДОЛИНИ,,"Обязанности: Настройка корректной работы с маркетплейсами по действующим договорам (Wildberries, OZON, Lamoda);Заключение договоров с новыми площадками (Tmall, Яндекс.Маркет, aliexpress, СДЭК.маркет, ebay, Amazon)Управление продажами: аналитика, ценообразование, скидки, контроль остатков, своевременная подсортировка, формирование отгрузок, отзывы, рейтинги;Выполнение плана продаж;Формирование/заведение карточек товара, корректного описания. ",Полная занятость,От 1 года до 3 лет,90000,60000,Управление продажами,2021-01-09T11:38:59+0300,"Требования: ПРАКТИЧЕСКИЙ опыт работы с Wildberries, OZON от 1 года ОБЯЗАТЕЛЕН;Опыт в продажах от 3 лет;Огромное желание учиться и применять полученные знания на практике;Активная жизненная позиция;Отлично развитые коммуникативные навыки, нацеленность на результат;Высшее образование;Опытный пользователь ПК (1С, Excel, Битрикс, ЭДО, электронная почта). ",Полный день,1С-Битрикс|Планирование продаж|1С: Торговля|Электронный документооборот|Ориентация на результат|B2C продажи|Развитие дистрибуции|Управление продажами|,"Условия: Официальное трудоустройство;Высокий уровень дохода (оклад + KPI);Обучение (внутреннее, внешнее);Интересная работа в дружном коллективе."
9,Екатеринбург,Уральский центр систем безопасности,Компания ,Обязанности: Выполнение работ по внедрению и поддержке решений по информационной безопасности. 50% рабочего времени - командировки. ,Полная занятость,Нет опыта,,35000,Администрирование сетевого оборудования,2020-12-21T11:15:32+0300,"Требования: Среднее или высшее техническое образование.Рассматриваем выпускников без опыта работы, но с уверенными базовыми знаниями.Знание основ информационных технологий: Модель OSI,Базовые сетевые сервисы и технологии,Основы операционных систем Microsoft Windows Server,Основы операционных систем семейства Unix/Linux. Знание основ базовых компонентов операционных систем Microsoft Windows: Служба каталогов Active Directory,Групповые политики,Типы и назначение прав безопасности,Инфраструктура открытых ключей. Знание основ операционных систем семейства Unix/Linux: Развертывание операционной системы,Файловые системы и назначение полномочий,Основы настройки базовых сервисов. ",Полный день,Active Directory|Администрирование серверов Windows|DHCP|Настройка DNS|Настройка сетевых подключений|Настройка почтовых серверов|Ms Exchange Server|Настройка ПО|IP-адресация|Администрирование сетевого оборудования|,"Условия: Интересные разноплановые задачи;Заработная плата по итогам собеседования, в зависимости от навыков кандидата;Профильное обучение за счет компании;50% рабочего времени - работа в командировке;Организацию командировок полностью берет на себя компания.Официальное трудоустройство в соответствии с требованиями ТК РФ;Соцпакет, ДМС;Насыщенная корпоративная жизнь;Комфортный офис с оборудованными кухнями (чай/кофе, печенюшки прилагаются) рядом с парком Зелёная роща, бесплатный вход на скалодром, фитнес, компенсация занятий спортом. "
