,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
0,,ТАТТЕЛЕКОМ,,,Частичная занятость,Нет опыта,,,Агент по сбору заявок,2020-12-23T09:08:58+0300,,Гибкий график,,
1,Казань,GMCS,,"Обязанности: Разработка решений на языке программирования C# и платформе .NET;Разработка сервисов интеграции;Анализ, оптимизация и поддержка существующего кода.   ",Полная занятость,От 3 до 6 лет,,,.NET Core,2020-12-20T11:59:55+0300,"Требования: Высшее образование по специальности «Информационные технологии»;Опыт разработки на C# и .NET от 1 года;Умение работать в профильной интегрированной среде разработчика (IDE);Опыт работы с системами контроля версий, Microsoft SQL Server, .NET Core;   ",Полный день,ASP.NET|Microsoft Dynamics CRM|HTML|C#|.NET Core|,
2,,Яндекс,"Яндексу важно, чтобы на любой вопрос о коммерческом сервисе клиенты получили компетентный и грамотный ответ. За это отвечает служба поддержки. Мы ищем в нее сотрудника, который будет помогать клиентам. Лучше всего эта вакансия подойдет человеку, который работал с контекстной рекламой.   ",,Полная занятость,От 1 года до 3 лет,,,Грамотность,2021-01-06T20:12:52+0300,"Требования к оборудованию: Минимальные:операционная система Windows 7, 8, 10 или OSX 10.9.5 и выше;мобильный телефон или планшет для установки Microsoft Authenticator: Android 4.2 и выше или iOS 9.0 и выше.Рекомендованные:оперативная память компьютера 4 ГБ и более;разрешение окна удаленного рабочего стола не выше 1920 × 1080 пикселей при работе с сервером;скорость интернета 20 Мбит/с или больше, проводное подключение.   ",Удаленная работа,Сопровождение клиентов|Контекстная реклама|Грамотность|,"Условия: удаленная работа;график работы 4/2;оформление по трудовому договору;обучение оплачивается;оплата почасовая, возможны премии за эффективную работу. В сопроводительном письме укажите удобное для вас время начала работы (по Москве)."
3,,TopHunter,,,Полная занятость,Нет опыта,,120000,Xamarin,2021-01-08T16:00:41+0300,,Полный день,C#|MS SQL|.NET Framework|мобильная разработка|Xamarin|,"Мы предлагаем: Интересные проекты;Заработные платы выше рынка Казани, а также, премии от закрытия проектов;Работу с самыми сильными профессионалами нашего города и регионов, команда в Казани более 120 человек;Карьерный и финансовый рост;Трудоустройство по ТК РФ;Возможность гибкого начала рабочего дня;Все условия для комфортной работы;Помощь в релокации для иногородних кандидатов. Если наше предложение соответствует вашим ожиданиям, будем рады более детально поговорить с вами!   <ul> </ul>"
4,,GDC (ICL Services),"Ищем тестировщика на проект - крупный ирландский Ритейлер. Также на проекте используется автоматизированное тестирование, тестирование бизнес-логики API. Тесное взаимодействие с разработчиками, аналитиками. <br />","Обязанности: Тестирование ПО (в том числе функциональное, регрессивное, нагрузочное и др.);Создание тестовых сценариев, а так же тестовых данных;Анализ результатов тестирования;Заведение баг-репортов. ",Полная занятость,От 1 года до 3 лет,,,Инженер-тестировщик,2021-01-09T17:39:02+0300,"Требования Знание методологии и принципов тестирования ПO;Понимание процесса разработки и жизненного цикла;Знание ОС Windows;Желательно знание MS SQL server;Желательно знание Agile;Желательно знание языков программирования C#, .Net;Желательно знание Microsoft Test Manager;Уровень английского языка от ",Полный день,,"Что мы предлагаем  Выплаты и бонусы:  Конкурентная заработная плата и 13 зарплата;  бонус к отпуску и значимым событиям (свадьба, рождение детей);  компенсация процентов по ипотеке и беспроцентная ссуда;  ДМС со стоматологией;  компенсация спорта. Скидки в фитнес-клубах;  при переезде предоставим квартиру на первое время или выплатим подъемные.   Условия труда:  современный офис с тренажерами, office kitchens и банкоматами;  столовые в офисах и скидки на питание.   Обучение и карьера:  вендорное обучение и сертификация за счет компании;  обучение английскому и общение с иностранными заказчиками;  возможность участия в техническом и управленческом кадровом резерве.   Экология и благотворительность:  помогаем детским домам, школам, приютам для животных;  озеленяем город, бережем ресурсы;  поддерживаем социальные инициативы сотрудников.  "
5,,ТАТТЕЛЕКОМ,,,Полная занятость,От 1 года до 3 лет,,,Обучение и развитие,2020-12-14T11:16:48+0300,,Полный день,Активные продажи|Пользователь ПК|Заключение договоров|Обучение персонала|Консультирование|Прямые продажи|Управление продажами|Управление персоналом|Деловое общение|Развитие продаж|Мотивация персонала|Руководство коллективом|Обучение и развитие|,
6,село Усады,GDC (ICL Services),"<em>Наша компания занимается IT-аутсорсингом. Заказчики – крупнейшие российские и зарубежные компании: производители автомобилей, торгово-энергетический комплекс, ряд фармацевтических компаний и многие другие. Работаем в формате business to business – проектируем, развиваем и поддерживаем IT-инфраструктуру наших клиентов.</em> Ищем инженера в группу поддержки решений по информационной безопасности европейских заказчиков. ",,Полная занятость,От 3 до 6 лет,,,Vulnerability Scanner,2021-01-08T10:22:40+0300,,Полный день,Английский язык|Информационная безопасность|Information Security|Endpoint Detection and Response|SOC|Security Operation Center|IPS|IDS|NGAV|Антивирус|SIEM|PowerShell|Python|Bash|Networks|Windows Server|Linux|Unix|IAM|PAM|Vulnerability Scanner|,"Что мы за это предлагаем: <em>Выплаты и бонусы:</em> Бонусы и 13 зарплата.Бонус к отпуску и значимым событиям (свадьба, рождение детей)Компенсация процентов по ипотеке и беспроцентная ссуда.ДМС со стоматологией.Компенсация спорта. Скидки в фитнес-клубах.При переезде предоставим квартиру на первое время или выплатим подъемные. <em>Условия труда:</em> Современный офис с тренажерами, office kitchens и банкоматамиСтоловые в офисах и скидки на питание. <em>Обучение и карьера:</em> Вендорное обучение и сертификация за счет компании.Обучение английскому и общение с иностранными заказчиками.Возможность участия в техническом и управленческом кадровом резерве. <em>Экология и благотворительность</em> Помогаем детским домам, школам, приютам для животныхОзеленяем город, бережем ресурсыПоддерживаем социальные инициативы сотрудников   "
7,Казань,НОРБИТ,Приглашаем в команду <em>,,Полная занятость,От 1 года до 3 лет,,,HTML,2020-12-14T16:15:51+0300,,Полный день,ASP.NET|JavaScript|SQL|C#|.NET Framework|CSS|HTML|,
8,,Skyeng,"Привет! Меня зовут Юрий Юрин. Я тимлид ключевого продукта Skyeng — платформы Vimbox. Это интерактивный учебник, который помогает учить английский с преподавателем. Ищу Backend разработчика к себе в команду на удаленку.   <em>",,Полная занятость,Более 6 лет,,200000,Symfony,2020-12-09T16:13:58+0300,,Удаленная работа,PHP|ООП|Symfony|,
9,Казань,Страховые Решения,,,Полная занятость,От 1 года до 3 лет,200000,40000,Работа с возражениями,2021-01-10T10:49:08+0300,,Полный день,Активные продажи|B2B Продажи|CRM|Навыки продаж|Ориентация на результат|Работа в команде|Работа с возражениями|,"Условия работы: Окладная часть по результатам собеседования + &quot;вкусный&quot; процент от каждой продажи (выдается <em>еженедельно</em> на руки). Средний заработок сотрудников отдела продаж 75,000 рублей в месяц. Самый большой бонус менеджера по продажам - 220,000 р. и новый айфон в подарок) "
