,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
0,Краснодар,Softline,,,Полная занятость,От 1 года до 3 лет,,,Разговорный английский,2020-12-24T11:34:10+0300,,Полный день,Cisco|Сетевые технологии|Развитие бизнеса|Разговорный английский|,"Мы предлагаем:  Мы готовы обсуждать условия дохода с каждым кандидатом по итогам личной встречи: размер заработной платы по итогам собеседования (оклад);  Индивидуальный график работы, который подходит именно Вам (8:00-17:00, 9:00-18:00/10:00-19:00);  Мы заботимся о наших сотрудниках и поддерживаем инициативы по обучению, проведению вебинаров, митапов и демо-дней. Организовываем профильные конференции, тренинги за счет компании;  Дружелюбная атмосфера и команда лучших профессионалов, которые готовы поддерживать на всех уровнях, ведь мы - одна большая семья;  Открытость и готовность к диалогу ТОП-менеджмента компании. Возможность лично пообщаться с Топ-менеджментом на неформальных корпоративных встречах;  Мы ответственно подходим к вопросам здоровья и благополучия наших сотрудников, для Вас: программа ДМС плюс стоматология. Обслуживание в лучших клиниках города, скидки на абонементы в фитнес-клубы, неформальные спортивные сообщества;  Для тех кто любит разнообразить свою жизнь новыми впечатлениями, primezone: скидки на услуги туристических агентств, продукты питания, в рестораны, бары и магазины;  Программа лояльности для сотрудников компании по компенсации доли % по ипотеке;  Возможность порадовать себя покупкой орг. или компьютерной техники от наших партнеров со скидкой;  Удобное расположение делового квартала, комфортный офис Softline. "
1,Краснодар,Тагес Джамп,,"Обязанности Развитие текущих и разработка новых API-сервисов back-end платформы, построенной на микро-сервисной архитектуре.   ",Полная занятость,От 1 года до 3 лет,,100000,Hibernate ORM,2020-12-09T13:39:09+0300,"Требования: Опыт работы Java программистомJava , SpringJPA - Hibernate, SpringData, JDBC template, transactionUnit test - spring-test, JUnitWeb services - RESTgit, (git flow, pull request)Build tools - MavenБД SQL и noSqlDockerПонимание необходимости и умение покрывать свой код тестамУмение самостоятельно принимать решенияГлубокое понимание принципов ООП и шаблонов проектированияУмение быстро разбираться в сложных технических вопросахСтрасть к написанию простого, быстрого и гибкого кодаТребовательность к качеству сделанного продуктаЗнание алгоритмов и структур данных ",Полный день,Java|Spring Framework|Hibernate ORM|,
2,,Билайн,"Наша команда каждый день работает над повышением качества связи, обеспечивая бесперебойность сервиса для клиента. Мы – это уверенность, надежность, профессионализм и внимание к деталям. Если Вы готовы решать сложные и масштабные задачи в команде экспертов – мы ждем ваше резюме на позицию Инженер по строительству местной транспортной сети. ",,Полная занятость,От 1 года до 3 лет,,,Ориентация на результат,2021-01-08T10:39:52+0300,,Полный день,MS PowerPoint|Работа в команде|Умение работать в команде|Контроль качества|Ориентация на результат|,
3,,РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК,,"Обязанности: Разработка ПО Банковская отчетность.Создание отчетов для предоставления в контролирующие органы.Разработка пакетов, хранимых процедур, функций в Oracle PL/SQL.Разработка тонкого клиента для системы отчетности. ",Полная занятость,От 1 года до 3 лет,,,PHP,2020-12-31T08:57:48+0300,"Требования: Высшее техническое образование.Опыт работы на аналогичной должности от 2-х лет.Знание Oracle PL/SQL.Знание Oracle Delphi, PHP приветствуется.Знание принципов оптимизации SQL запросов.",Полный день,Oracle Pl/SQL|SQL|Delphi|PHP|,
4,Краснодар,One Inc. Russia,,,Полная занятость,От 3 до 6 лет,,,Тестирование пользовательского интерфейса,2021-01-10T13:09:33+0300,"Требования: Опыт работы в системах тестирования и обеспечения качества программного обеспечения не менее одного годаХорошее знание и применение методов обеспечения качества при разработке программного обеспеченияОпыт работы с bug tracking системамиНавыки создания тестовой документации (чеклисты, тест кейсы)Знание процесса разработки и тестирования ПО ",Гибкий график,Atlassian Jira|Функциональное тестирование|Test case|Тестирование пользовательского интерфейса|,"ЧТО МЫ ПРЕДЛАГАЕМ Большой, сложный, интересный, успешный продуктОтличная команда - наша самая большая ценность и наша гордость.Возможность приносить пользу - наши продукты делают жизнь людей легче и проще.Гибкий график (удаленный в условиях карантина), белая ЗП, ДМС, отличные бенефиты - уютные офисы, пицце-пятницы, ланчтимы, перекусы и кофе, кикер/турник, компенсация спорта, английского языка с native speaker."
5,,"МАГНИТ, Розничная сеть",,"Обязанности: оптимизация действующих бизнес- процессов работы МК;участие в разработке новых бизнес-процессов МК;участие в реализации текущих проектов как эксперт формата МК;осуществление сбора, анализа и документирование требований (интервьюирование заказчиков) по изменению технологий и бизнес-процессов формата МК;поддержка деловых связей с заказчиками, экспертами предметных областей, и со cмежными подразделениями;описание документов и моделирование бизнес-процессов;согласование итоговых документов со всеми заинтересованными лицами и руководством;передача новых и измененных документов для подготовки материалов и проведения обучения сотрудников. ",Полная занятость,От 1 года до 3 лет,,57000,MS Excel,2020-12-30T17:02:24+0300,"Требования: образование высшее (Математические методы анализа / Экономика / Технические специальности );опыт работы с бизнес-анализами и аналитикой данных;знание бизнес-процессов работы формата МК ;знание бизнес-процессов работы других магазинов дрогери (бьюти);ответственность, самостоятельность, умение работать в режиме многозадачности. ",Полный день,MS PowerPoint|MS Visio|MS Project|Бизнес-анализ|UML|MS Excel|,"Условия: работа в Головной компании сети магазинов &quot;Магнит&quot;;график работы: 5/2, с 09:00 до 18:00;официальная заработная плата;интересная работа в команде профессионалов;корпоративное обучение;корпоративные пенсионные программы;спортивный зал для сотрудников."
6,Краснодар,DataArt,"О работе Клиент — американский маркетплейс. Разработанные им веб-сайт и приложения позволяют продавать и покупать предметы гардероба, гаджеты и пр. DataArt специалисты усилят in-house команду клиента для развития и обеспечения выхода на новые рынки Европы. Работа организована по Spotify Agile Framework — все разработчики работают в небольших (3–4 человек) автономных и самодостаточных командах. Требования Опыт программирования на PHP не менее 3-х лет.Опыт работы с Symfony.Знание баз данных (Redis, MySQL, DynamoDB).Опыт работы с веб-фреймворком Phalcon.Разговорный английский. ",,Полная занятость,От 3 до 6 лет,,,PHP Developer (Online Marketplace),2020-12-14T16:45:12+0300,"О работе Клиент — американский маркетплейс. Разработанные им веб-сайт и приложения позволяют продавать и покупать предметы гардероба, гаджеты и пр. DataArt специалисты усилят in-house команду клиента для развития и обеспечения выхода на новые рынки Европы. Работа организована по Spotify Agile Framework — все разработчики работают в небольших (3–4 человек) автономных и самодостаточных командах. Требования Опыт программирования на PHP не менее 3-х лет.Опыт работы с Symfony.Знание баз данных (Redis, MySQL, DynamoDB).Опыт работы с веб-фреймворком Phalcon.Разговорный английский. ",Гибкий график,,
7,Симферополь,АйТи Мониторинг,,"Обязанности: Осуществление разработки и актуализации внутренней нормативной документации для обеспечения соответствия требованиям законодательства и нормативных документов по защите информации ФСБ и ФСТЭК России.Установка, настройка, администрирование средств защиты информации.Анализ информации, полученной при использовании средств защиты. ",Полная занятость,От 1 года до 3 лет,,,Средства криптографической защиты информации,2020-12-28T11:43:40+0300,"Обязанности: Осуществление разработки и актуализации внутренней нормативной документации для обеспечения соответствия требованиям законодательства и нормативных документов по защите информации ФСБ и ФСТЭК России.Установка, настройка, администрирование средств защиты информации.Анализ информации, полученной при использовании средств защиты. ",Полный день,Информационная безопасность|Технические средства информационной защиты|Средства криптографической защиты информации|,Условия: Оформление согласно ТК РФ.&quot;Белая&quot; заработная плата (уровень обсуждается на собеседовании).График работы 5/2 с 09:00 до 18:00.Оплачиваемые командировки.
8,,Hoff,,"Обязанности: Анализ потребности бизнес-подразделений в автоматизации и реорганизации бизнес-процессов с целью повышения их эффективности.Инжиниринг, регламентация и внедрение бизнес-процессов.Подготовка технических заданий на разработку или модификацию корпоративных информационных систем (DAX12 и др.).Проведение тестирования разработанного функционала, подготовка инструкций, сопровождение его внедрения. ",Полная занятость,От 3 до 6 лет,,,Atlassian Confluence,2021-01-07T22:22:29+0300,"Требования: Опыт инжиниринга, реорганизации, внедрения бизнес-процессов.Опыт разработки технических заданий на автоматизацию бизнес-функций, согласования и тестирования функциональных дизайнов.Опыт разработки инструкций и регламентов бизнес-процессов.Навыки общения и ведения переговоров и опросов ключевых пользователей.Ответственность, умение работать в команде, аналитический склад ума, ориентированность на результат, стрессоустойчивость.Владение ПК: Знание Visio - как преимущество. Уверенный пользователь Word, Excel, PowerPoint. ",Полный день,Английский язык|Atlassian Jira|Разработка технических заданий|Работа в команде|Atlassian Confluence|,"Условия: Возможность профессионально развиваться и расти;Интересные, сложные и амбициозные задачи;Белая зарплата;Расширенный социальный пакет: ДМС, включающая стоматологию, полис для выезжающих за рубеж; льготные условия оформления страховки для членов семьи;Скидка на занятия спортом вне офиса;Гибкий график работы, отсутствие дресс-кода.   <em>Благодарим Вас за интерес, проявленный к нашей Компании.</em> <em>Мы обязательно рассмотрим Ваше резюме в течение 14 дней. Отсутствие ответа в течение двух недель означает, что, к сожалению, на сегодня у нас нет подходящих вакансий. При этом Ваше резюме будет сохранено в нашей информационной системе и, если подходящая вакансия появится в будущем, мы предложим ее Вам для рассмотрения. </em>"
9,,"МАГНИТ, Розничная сеть",,"новый клиентский опыт для наших сотрудников так, чтобы цифровая им стало удобнее и приятнее выполнять свои рабочие обязанности, развиваться и общаться с коллегами. Внутри команды ",Полная занятость,От 3 до 6 лет,,,Развитие продаж,2020-12-07T10:56:35+0300,,Полный день,Python|Аналитические исследования|SQL|E-Commerce|Развитие продаж|,
10,,Эльбрус,,"Обязанности: Согласование требований и составление технических заданий для разработчиковПланирование и контроль выполнения задач/проектов рабочей группыОрганизация тестирования и внедрения измененийРазработка it-объектов, осуществление техподдержки (в меньшей степени) ",Полная занятость,От 1 года до 3 лет,175000,,Тестирование,2020-12-31T07:33:07+0300,"Требования: Образование высшееОпыт работы от 2 лет, продвинутый пользователь ПКОпыт руководства командой разработчиковОпыт проектирования и написания конфигураций 1С 8 (включая управляемые формы), знание основ MS SQLУчастие в крупных проектахПриветствуется знание типовых конфигураций, а так же опыт программирования на других языках ",Полный день,MS SQL|SQL|Разработка технических заданий|1С программирование|Тестирование|,"Условия: Работа по графику 5/2 (удаленная работа), з/п "
