,city,company_name,description,duty,employment,experience,max_salary,min_salary,name,published_date,requirements,schedule,skills,terms
0,,Страна Девелопмент,,"Обязанности:  Участие в качестве IT-консультанта в проекте внедрения информационной системы (модульное решение) на платформе 1С:Предприятие 8.3  Консультирование сотрудников УК в части пользования Office 365  Консультирование сотрудников компании по работе с внедряемым функционалом, сбор и анализ замечаний пользователей к функционалу   Активное участие в разработке решений по устранению выявленных замечаний  Участие в разработке пользовательской документации, в организации и проведении обучения  Анализ и корректировка действующих бизнес-процессов в привязке к функционалу 1С;  ",Полная занятость,От 3 до 6 лет,,,1С: Предприятие 8,2021-01-08T12:21:49+0300,"Требования:   Высшее образование-прикладная информатика, инженер-программист, прикладная математика;  Аналитическое мышление; Ориентация на результат;   Знание структуры основных объектов конфигурации 1С  Опыт\навыки программирования на языке 1С  Основы реляционных БД  Опыт навыки применения языка SQL  Опыт консультирования пользователей;  Опыт работы с web сервисами  Опыт работы с системами автоматизации документооборота  Коммуникабельность, лояльность к пользователям (сотрудникам Компании);  ",Полный день,1С программирование|Аналитическое мышление|Умение работать в команде|1С: Предприятие 8|,Условия: Официальное трудоустройство;Стандартный соц пакет;Реальная перспектива профессионального развития
1,,"Иннотех, Группа компаний",,Обязанности: разработка API на платформе TYK и APIC;разработка адаптеров для API;разработка инструментов мониторинга;интеграция платформы со сторонними сервисами;интеграция платформы со служебными сервисами Банка. ,Полная занятость,От 1 года до 3 лет,,,Nginx,2020-12-11T13:41:42+0300,"Требования: Опыт реализации интеграционных решений и REST API;Опыт разработки от года: JavaScript (React), Spring Boot;Опыт разработки высоконагруженных web-сервисов (REST);Системы хранения версий Git/Bitbucket;Nginx – MSA (OpenShift);Опыт работы с платформами управления API (IBM API Connect, Data Power, Tyk, WSO2 API Manager) и тп. <em>Будет плюсом:</em> опыт работы с java; ",Полный день,Git|Spring Framework|Atlassian Confluence|REST|Atlassian Jira|JavaScript|Nginx|,"Условия: Помощь в релокации;Полностью официальная заработная плата;Оформление по ТК РФ;Пакет льгот для сотрудников от наших партнеров: ДМС, зарплатный проект ВТБ, льготное кредитование и страхование."
2,,"Иннотех, Группа компаний",,"Обязанности: Анализ бизнес-требований, участие во встречах с партнерами;Описание функциональных требований, требований по информационной безопасности;Написание технических заданий, test cases;Подготовка технических спецификаций, проектирование интеграционных интерфейсов (REST API), потоков данных, правил взаимодействия систем;Аналитика интеграции со смежными продуктами/системами в части совершения банковских операций, контуром банковских сервисов и информационными системами;Участие в проверке реализованного функционала и сдаче решения Заказчику, конечным пользователям;Сопровождение общебанковских процедур: заполнение и ведение задач в JIRA, ведение базы знание в Сonfluence. ",Полная занятость,От 3 до 6 лет,,,JSON API,2020-12-28T16:07:51+0300,"Требования: Опыт работы в роли системного аналитика от 2 лет;Умение анализировать бизнес-процессы, четко и структурировано формулировать требования по их автоматизации;Практический опыт написания и согласования документации: бизнес требований, технических заданий, функциональных спецификаций;Практический опыт описания UML диаграмм;Понимание принципов аутентификации и авторизации;Понимание принципов интеграции информационных систем;Понимание протокола SOAP и архитектурного стиля REST;Опыт участия в тестировании и приёмо-сдаточных испытаниях разрабатываемого функционала;Высокий уровень коммуникативных навыков, умение находить общий язык как с бизнес заказчиками, так и с разработчиками. <em>Будет плюсом:</em> Понимание принципов SSO (Single Sign-On);Знание протокола Kerberos;Опыт работы в Jira/Confluence;Опыт работы с Swagger;Опыт работы с JSON схемами;Опыт работы с БД на уровне базовых запросов. ",Полный день,Atlassian Jira|Atlassian Confluence|Scrum|Agile Project Management|Анализ бизнес показателей|Аналитические исследования|UML|REST|SOAP|JSON API|,"Условия: Участие в масштабном и долгосрочном проектеПомощь в релокацииКомфортный офисПолностью официальная заработная платаОформление по ТК РФПакет льгот для сотрудников от наших партнеров: ДМС, зарплатный проект ВТБ, льготное кредитование и страхование"
3,,ЭР-Телеком,,"Обязанности: Разработка стратегии технического и технологического развития региона (Пермь, Екатеринбург, Ижевск);Руководство и планирование работ по развитию территории и обеспечению эксплуатационной готовности магистральных и распределительных линий связи;Организация работ по строительству, реконструкции, модернизации сети в соответствии с планом;Приемка и ввод в эксплуатацию вновь построенных, реконструированных, модернизированных объектов в соответствии с проектной документацией;Планирование и контроль затрат, направленных на обеспечение деятельности проекта, формирование бюджета;Взаимодействие с подрядными организациями;Взаимодействие с операторами связи;Заключение и сопровождение договоров. ​​​​​​​",Полная занятость,От 3 до 6 лет,,,Выбор подрядных организаций,2020-12-11T07:08:24+0300,Требования: Высшее техническое образование (желательно в области телекоммуникаций или IT);Опыт работы в сфере телекоммуникаций от 3-х лет;Опыт работы на руководящих позициях от 2-х лет;Опыт успешного запуска и ведения проектов;Опыт в реализации крупных технических проектов развития и строительства сетей и узлов связи;Опыт работы по сделкам M&amp;A;Опыт работы с подрядными организациями;Опыт межоператорской деятельности;Лидерские качества;Инициативность;Умение работать в команде и самостоятельно в условиях многозадачности. ​​​​​​​,Полный день,Управление проектами|Организаторские навыки|Пользователь ПК|Руководство коллективом|Формирование бюджета|Договорная работа|Ведение переговоров|Управленческие навыки|Выбор подрядных организаций|,Требования: Высшее техническое образование (желательно в области телекоммуникаций или IT);Опыт работы в сфере телекоммуникаций от 3-х лет;Опыт работы на руководящих позициях от 2-х лет;Опыт успешного запуска и ведения проектов;Опыт в реализации крупных технических проектов развития и строительства сетей и узлов связи;Опыт работы по сделкам M&amp;A;Опыт работы с подрядными организациями;Опыт межоператорской деятельности;Лидерские качества;Инициативность;Умение работать в команде и самостоятельно в условиях многозадачности. ​​​​​​​
4,,2050.Digital,"Компания Clover Group реализует масштабные проекты по внедрению собственной интеллектуальной Платформы для предиктивного обслуживания промышленного оборудования на предприятиях железнодорожной, нефтегазовой, энергетической, металлургической отраслей с использованием современных методов анализа данных Big Data и Machine Learning ","Обязанности кандидата: Управлять инфраструктурой проекта. Заниматься настройкой и конфигурацией сети и серверов;Писать helm-чарты разворачиваемых приложений;Поддерживать и развивать системы CI/CD;Заниматься мониторингом и алертингом (Grafana, Prometheus, Elasticsearch);Выполнять резервное копирование / бекап, балансировку нагрузки;Анализировать и устранять проблемы производительности микросервисов, включая базы данных;Разворачивать и настраивать наши приложения на серверах заказчика;Рассчитывать нагрузки и ресурсы для каждого проекта;Создавать и поддерживать высоконагруженные системы. ",Полная занятость,От 3 до 6 лет,,,ansible,2020-12-04T14:28:56+0300,Требования к кандидату: Опыт работы с Red Hat Enterprise ,Удаленная работа,Python|Linux|Bash|PostgreSQL|Kubernetes|helm|ansible|,
5,,Яндекс,"Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Сервису Яндекс.Карты нужны внимательные, тактичные и любознательные операторы с чувством юмора — обновлять данные в базах, следить за их верностью и актуальностью.   Что вы будете делать: совершать звонки по сценарию задания;обновлять сведения в базе данных. Для работы потребуются: грамотный устный и письменный русский язык;умение работать с большими массивами информации;навыки уверенной работы на компьютере;тихое место на время работы;ноутбук или стационарный компьютер с ОС не ниже Windows 7;гарнитура;подключённый кабельный высокоскоростной интернет. Мы ждем, что вы: хотите и умеете помогать другим людям;вежливы, но не занудны;внимательны к деталям и всегда доводите дело до конца;не устаёте от однообразных задач;можете работать дома, не отлынивая и не отвлекаясь на очередной эпизод сериала;любите узнавать новое;готовы к насыщенному рабочему дню. Что мы предлагаем: работу из дома или любой точки, где есть стабильный интернет;бесплатную ip-телефонию;частичную занятость, гибкий график 4 часа в день 5 дней в неделю (будни) в дневное время с 8 до 20 по Москве;официальное оформление на работу по совместительству с первого дня обучения;сдельную оплату;удалённое оплачиваемое обучение.    ",,Частичная занятость,Нет опыта,,,Оператор саll-центра,2020-12-08T10:41:35+0300,,Удаленная работа,,
6,,NAUMEN,,,Полная занятость,От 1 года до 3 лет,,,Администрирование серверов Linux,2021-01-09T18:32:08+0300,,Удаленная работа,Linux|Администрирование серверов Linux|,
7,,Академия осознанного мышления Ольги Коробейниковой,,,Полная занятость,От 1 года до 3 лет,,60000,MS Internet Explorer,2020-12-24T06:20:49+0300,,Удаленная работа,Дистанционное обучение|Мобильность|Грамотная речь|Руководство коллективом|MS Internet Explorer|,
8,Тюмень,Финансовый консалтинг,"Ищем в команду талантливого специалиста по SMM. Если Вы умеете (а главное – любите!) классно и эффективно вести соц.сети, развивать их, интересно писать, делать крутые фотографии и видео, то эта работа для Вас. ","Обязанности: Чем предстоит заниматься? Ведение аккаунтов в соц.сетях (составление контент-плана, запуск промо-постов, ведение аккаунтов в соц. сетях, работа с отзывами); Генерация уникального контента и интересных видео. Коммуникация с пользователями (оперативное реагирование на вопросы и комментарии, общение с подписчиками); Отслеживание трендов социальных сетей, актуальных новостей, ситуативный маркетинг. ",Полная занятость,От 1 года до 3 лет,30000,,Видеомонтаж,2020-12-06T14:24:48+0300,"Требования: Высшее образование: предпочтительно маркетинг, реклама; Опыт работы с инструментами digital-продвижения; Стильные и интересные аккаунты своих собственных соц.сетей или примеры реализованных проектов (ждем ссылки); Коммуникабельность, ответственность, внимательность, креативность, активность, многозадачность, чувство юмора, грамотность; Желание обучаться новому. ",Полный день,SMO|Лидогенерация|SMM|Аудит SMM|Ведение групп в социальных сетях|Организация конференций|Adobe Photoshop|MS PowerPoint|Таргетинг|Копирайтинг|Продвижение в социальных группах|Продвижение мероприятий компании в социальных сетях|Работа с opinion лидерами в социальных сетях|Обработка видео|Видеомонтаж|,"Условия:  Выплата 2 раз в месяц до 10-го числа, без задержек  График 5/2, полный день  Оплачиваемые отпуск и больничный  Возможность добавить в своё портфолио крутые кейсы из крупного проекта  Молодая, дружная команда. Работа в успешной международной компании.  Достойная и стабильная заработная плата;  Профессиональное обучение;  Официальное трудоустройство. "
9,,НИПИГАЗ,,"Обязанности: Администрирование и техническая поддержка проекта в системе Tekla в соответствии с требованиями заказчикаАдминистрирование Tekla Model SharingРешение обращений пользователей по вопросам технической поддержки TeklaКонсультация пользователей по работе в TeklaОбучение пользователей работе в TeklaРазработка инструкций пользователя для TeklaВедение базы знаний IT отделаВзаимодействие с IT специалистами, разработчиками Tekla по вопросам сопровождения разработанных плагинов и утилит.Взаимодействие со смежными IT подразделениями и бизнесом ",Полная занятость,От 3 до 6 лет,,,САПР,2020-12-08T09:55:10+0300,"Обязанности: Администрирование и техническая поддержка проекта в системе Tekla в соответствии с требованиями заказчикаАдминистрирование Tekla Model SharingРешение обращений пользователей по вопросам технической поддержки TeklaКонсультация пользователей по работе в TeklaОбучение пользователей работе в TeklaРазработка инструкций пользователя для TeklaВедение базы знаний IT отделаВзаимодействие с IT специалистами, разработчиками Tekla по вопросам сопровождения разработанных плагинов и утилит.Взаимодействие со смежными IT подразделениями и бизнесом ",Полный день,MS SQL|MS Project|C++|Информационные технологии|ПО Tekla Structures|Tekla|Tekla Model Sharing|САПР|,"Условия: Заработная плата по результатам собеседования;Конкурентная оплата труда;ДМС и страхование от несчастных случаев и болезней;Медицинское обслуживание и мониторинг здоровья;Оплачиваемую мобильную связь;Скидки на питание;Развивающие программы и тренинги;Материальная помощь, до­полнительные дни отдыха в связи с особыми событиями жизни;Санаторно – курортное обе­спечение в г. Анапа и Алтай­ском крае для работников и членов семей, а также детский оздоровительный лагерь в г. Анапа;Детские подарки на Новый год и 1 сентября;Дополнительный социальный пакет для членов Профсоюза;Скидки партнеров Компании;"
